"hotel","site","price","check_in_date"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-19"
"Hudson","Travelocity","117","2016-01-19"
"Park Central","Hotwire","119","2016-01-19"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-19"
"The Hotel at Times Square","Amoma.com","124","2016-01-19"
"Grand Hyatt","Orbitz","158","2016-01-19"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-19"
"The Jane","Booking.com","98","2016-01-19"
"Novotel New York Times Square","Amoma.com","276","2016-01-19"
"Royalton","Hotwire","193","2016-01-19"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-19"
"The Leon Hotel","Expedia","131","2016-01-19"
"Distrikt Hotel","Venere.com","128","2016-01-19"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-19"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-19"
"Hotel Pennsylvania","Hotels.com","119","2016-01-19"
"Hilton New York","priceline.com","148","2016-01-19"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-19"
"Doubletree Metropolitan","Expedia","121","2016-01-19"
"New York Marriott Marquis","Amoma.com","256","2016-01-19"
"Ramada Inn Eastside","Amoma.com","124","2016-01-19"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-19"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","103","2016-01-19"
"Pod 39","Expedia","85","2016-01-19"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-19"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-19"
"Hudson","Venere.com","117","2016-01-19"
"Park Central","Hotels.com","119","2016-01-19"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-19"
"Hampton Inn Manhattan - Times Square North","Expedia","156","2016-01-20"
"Hotel Pennsylvania","Official hotel website","76","2016-01-20"
"Holiday Inn New York City - Wall Street","Official hotel website","80","2016-01-20"
"La Quinta Inn & Suites Manhattan","Official hotel website","90","2016-01-20"
"The Jane","Hotels.com","84","2016-01-20"
"Novotel New York Times Square","Official hotel website","152","2016-01-20"
"Row NYC","Booking.com","125","2016-01-20"
"Royalton","TabletHotels","168","2016-01-20"
"Hampton Inn New York - 35th Street - Empire State Building","BookIt.com","109","2016-01-20"
"Holiday Inn Express NYC Madison Square Garden","priceline.com","109","2016-01-20"
"Waldorf Astoria","priceline.com","238","2016-01-20"
"The Leon Hotel","priceline.com","125","2016-01-20"
"Warwick New York","Orbitz","158","2016-01-20"
"New York Palace","priceline.com","220","2016-01-20"
"Distrikt Hotel","Travelocity","124","2016-01-20"
"The Manhattan at Times Square","Travelocity","125","2016-01-20"
"Doubletree New York City - Chelsea","Travelocity","104","2016-01-20"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","107","2016-01-20"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-20"
"Wyndham New Yorker","Expedia","112","2016-01-20"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","105","2016-01-20"
"Doubletree Metropolitan","priceline.com","119","2016-01-20"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","259","2016-01-20"
"Ramada Inn Eastside","Easytobook","90","2016-01-20"
"Courtyard New York Manhattan - Chelsea","Official hotel website","119","2016-01-20"
"Hampton Inn Manhattan - Times Square North","Orbitz","156","2016-01-20"
"Hotel Pennsylvania","priceline.com","67","2016-01-20"
"Holiday Inn New York City - Wall Street","priceline.com","79","2016-01-20"
"La Quinta Inn & Suites Manhattan","Amoma.com","94","2016-01-20"
"The Jane","Travelocity","84","2016-01-20"
"Novotel New York Times Square","Expedia","152","2016-01-20"
"Row NYC","Orbitz","125","2016-01-20"
"Royalton","priceline.com","168","2016-01-20"
"Hampton Inn New York - 35th Street - Empire State Building","Expedia","115","2016-01-20"
"Holiday Inn Express NYC Madison Square Garden","Travelocity","109","2016-01-20"
"Waldorf Astoria","Expedia","239","2016-01-20"
"The Leon Hotel","Travelocity","125","2016-01-20"
"Warwick New York","Travelocity","158","2016-01-20"
"New York Palace","Venere.com","220","2016-01-20"
"Distrikt Hotel","Expedia","124","2016-01-20"
"The Manhattan at Times Square","priceline.com","125","2016-01-20"
"Doubletree New York City - Chelsea","Orbitz","104","2016-01-20"
"Holiday Inn Manhattan 6th Ave - Chelsea","priceline.com","107","2016-01-20"
"TRYP By Wyndham Times Square South","Travelocity","218","2016-01-20"
"Wyndham New Yorker","Travelocity","112","2016-01-20"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-20"
"Doubletree Metropolitan","Expedia","119","2016-01-20"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Orbitz","259","2016-01-20"
"Ramada Inn Eastside","Amoma.com","94","2016-01-20"
"Courtyard New York Manhattan - Chelsea","Booking.com","119","2016-01-20"
"Hampton Inn Manhattan - Times Square North","Hotels.com","156","2016-01-20"
"Hotel Pennsylvania","Hoteling","91","2016-01-20"
"Holiday Inn New York City - Wall Street","Amoma.com","142","2016-01-20"
"La Quinta Inn & Suites Manhattan","priceline.com","105","2016-01-20"
"The Jane","Booking.com","89","2016-01-20"
"Novotel New York Times Square","HotelTravel","255","2016-01-20"
"Row NYC","Hotels.com","125","2016-01-20"
"Royalton","otel.com","182","2016-01-20"
"Hampton Inn New York - 35th Street - Empire State Building","Travelocity","115","2016-01-20"
"Holiday Inn Express NYC Madison Square Garden","Orbitz","109","2016-01-20"
"Waldorf Astoria","Travelocity","239","2016-01-20"
"The Leon Hotel","Expedia","125","2016-01-20"
"Warwick New York","Expedia","158","2016-01-20"
"New York Palace","Hotels.com","220","2016-01-20"
"Distrikt Hotel","Venere.com","124","2016-01-20"
"The Manhattan at Times Square","Orbitz","125","2016-01-20"
"Doubletree New York City - Chelsea","Expedia","104","2016-01-20"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","107","2016-01-20"
"TRYP By Wyndham Times Square South","Hotels.com","218","2016-01-20"
"Wyndham New Yorker","Hotels.com","112","2016-01-20"
"Four Points by Sheraton Manhattan SoHo Village","Travelocity","105","2016-01-20"
"Doubletree Metropolitan","Orbitz","119","2016-01-20"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Travelocity","259","2016-01-20"
"Ramada Inn Eastside","HotelTravel","96","2016-01-20"
"Courtyard New York Manhattan - Chelsea","Amoma.com","172","2016-01-20"
"The Hotel at Times Square","priceline.com","104","2016-01-21"
"Grand Hyatt","priceline.com","143","2016-01-21"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-21"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-21"
"The Jane","Travelocity","95","2016-01-21"
"Novotel New York Times Square","Official hotel website","133","2016-01-21"
"Royalton","TabletHotels","180","2016-01-21"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-21"
"The Leon Hotel","priceline.com","111","2016-01-21"
"Distrikt Hotel","Expedia","128","2016-01-21"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-21"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-21"
"Hotel Pennsylvania","Official hotel website","118","2016-01-21"
"Hilton New York","Hotwire","148","2016-01-21"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-21"
"Doubletree Metropolitan","Hotwire","121","2016-01-21"
"New York Marriott Marquis","Official hotel website","160","2016-01-21"
"Ramada Inn Eastside","priceline.com","104","2016-01-21"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-21"
"Pod 39","priceline.com","84","2016-01-21"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-21"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-21"
"Hudson","Expedia","117","2016-01-21"
"Park Central","priceline.com","119","2016-01-21"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-21"
"The Hotel at Times Square","otel.com","111","2016-01-21"
"Grand Hyatt","otel.com","153","2016-01-21"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-21"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-21"
"The Jane","Hotels.com","96","2016-01-21"
"Novotel New York Times Square","Hotwire","133","2016-01-21"
"Royalton","priceline.com","182","2016-01-21"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-21"
"The Leon Hotel","Hotwire","131","2016-01-21"
"Distrikt Hotel","Orbitz","128","2016-01-21"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-21"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-21"
"Hotel Pennsylvania","otel.com","107","2016-01-21"
"Hilton New York","Hotels.com","148","2016-01-21"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-21"
"Doubletree Metropolitan","priceline.com","121","2016-01-21"
"New York Marriott Marquis","priceline.com","160","2016-01-21"
"Ramada Inn Eastside","HotelTravel","107","2016-01-21"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-21"
"Pod 39","Hotwire","84","2016-01-21"
"Courtyard New York Times Square West","Hotwire","118","2016-01-21"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-21"
"Hudson","Travelocity","117","2016-01-21"
"Park Central","Hotwire","119","2016-01-21"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-21"
"The Hotel at Times Square","Amoma.com","124","2016-01-21"
"Grand Hyatt","Orbitz","158","2016-01-21"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-21"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-21"
"The Jane","Booking.com","98","2016-01-21"
"Novotel New York Times Square","Amoma.com","276","2016-01-21"
"Royalton","Hotwire","193","2016-01-21"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-21"
"The Leon Hotel","Expedia","131","2016-01-21"
"Distrikt Hotel","Venere.com","128","2016-01-21"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-21"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-21"
"Hotel Pennsylvania","Hotels.com","119","2016-01-21"
"Hilton New York","priceline.com","148","2016-01-21"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-21"
"Doubletree Metropolitan","Expedia","121","2016-01-21"
"New York Marriott Marquis","Amoma.com","256","2016-01-21"
"Ramada Inn Eastside","Amoma.com","124","2016-01-21"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-21"
"Pod 39","Expedia","85","2016-01-21"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-21"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-21"
"Hudson","Venere.com","117","2016-01-21"
"Park Central","Hotels.com","119","2016-01-21"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-21"
"The Hotel at Times Square","priceline.com","104","2016-01-22"
"Grand Hyatt","priceline.com","143","2016-01-22"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-22"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-22"
"The Jane","Travelocity","95","2016-01-22"
"Novotel New York Times Square","Official hotel website","133","2016-01-22"
"Royalton","TabletHotels","180","2016-01-22"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-22"
"The Leon Hotel","priceline.com","111","2016-01-22"
"Distrikt Hotel","Expedia","128","2016-01-22"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-22"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-22"
"Hotel Pennsylvania","Official hotel website","118","2016-01-22"
"Hilton New York","Hotwire","148","2016-01-22"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-22"
"Doubletree Metropolitan","Hotwire","121","2016-01-22"
"New York Marriott Marquis","Official hotel website","160","2016-01-22"
"Ramada Inn Eastside","priceline.com","104","2016-01-22"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-22"
"Pod 39","priceline.com","84","2016-01-22"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-22"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-22"
"Hudson","Expedia","117","2016-01-22"
"Park Central","priceline.com","119","2016-01-22"
"Paramount","Hotwire","112","2016-01-22"
"The Hotel at Times Square","otel.com","111","2016-01-22"
"Grand Hyatt","otel.com","153","2016-01-22"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-22"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-22"
"The Jane","Hotels.com","96","2016-01-22"
"Novotel New York Times Square","Hotwire","133","2016-01-22"
"Royalton","priceline.com","182","2016-01-22"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-22"
"The Leon Hotel","Hotwire","131","2016-01-22"
"Distrikt Hotel","Orbitz","128","2016-01-22"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-22"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-22"
"Hotel Pennsylvania","otel.com","107","2016-01-22"
"Hilton New York","Hotels.com","148","2016-01-22"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-22"
"Doubletree Metropolitan","priceline.com","121","2016-01-22"
"New York Marriott Marquis","priceline.com","160","2016-01-22"
"Ramada Inn Eastside","HotelTravel","107","2016-01-22"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-22"
"Pod 39","Hotwire","84","2016-01-22"
"Courtyard New York Times Square West","Hotwire","118","2016-01-22"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-22"
"Hudson","Travelocity","117","2016-01-22"
"Park Central","Hotwire","119","2016-01-22"
"Paramount","Expedia","112","2016-01-22"
"The Hotel at Times Square","Amoma.com","124","2016-01-22"
"Grand Hyatt","Orbitz","158","2016-01-22"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-22"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-22"
"The Jane","Booking.com","98","2016-01-22"
"Novotel New York Times Square","Amoma.com","276","2016-01-22"
"Royalton","Hotwire","193","2016-01-22"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-22"
"The Leon Hotel","Expedia","131","2016-01-22"
"Distrikt Hotel","Venere.com","128","2016-01-22"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-22"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-22"
"Hotel Pennsylvania","Hotels.com","119","2016-01-22"
"Hilton New York","priceline.com","148","2016-01-22"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-22"
"Doubletree Metropolitan","Expedia","121","2016-01-22"
"New York Marriott Marquis","Amoma.com","256","2016-01-22"
"Ramada Inn Eastside","Amoma.com","124","2016-01-22"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-22"
"Pod 39","Expedia","85","2016-01-22"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-22"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-22"
"Hudson","Venere.com","117","2016-01-22"
"Park Central","Hotels.com","119","2016-01-22"
"Paramount","priceline.com","112","2016-01-22"
"Holiday Inn Express NYC Madison Square Garden","Official hotel website","286","2016-01-23"
"The Leon Hotel","priceline.com","316","2016-01-23"
"Distrikt Hotel","Hotwire","375","2016-01-23"
"TRYP By Wyndham Times Square South","Amoma.com","455","2016-01-23"
"Hotel Pennsylvania","Official hotel website","177","2016-01-23"
"Hilton New York","priceline.com","356","2016-01-23"
"Pod 39","priceline.com","213","2016-01-23"
"Courtyard New York Times Square West","Official hotel website","365","2016-01-23"
"The Newton Hotel","Amoma.com","182","2016-01-23"
"Hotel 32 32","Hotwire","245","2016-01-23"
"Sofitel New York","Official hotel website","484","2016-01-23"
"Fairfield Inn & Suites New York Manhattan - Times Square","Travelocity","329","2016-01-23"
"Holiday Inn Midtown 57th Street","Official hotel website","262","2016-01-23"
"nyma the new york manhattan hotel","priceline.com","193","2016-01-23"
"Refinery Hotel","Expedia","336","2016-01-23"
"Holiday Inn Express Manhattan Times Square South","priceline.com","223","2016-01-23"
"1  Central Park","priceline.com","519","2016-01-23"
"The Westin New York Grand Central","Orbitz","2,795","2016-01-23"
"Holiday Inn Express New York City Times Square","Official hotel website","294","2016-01-23"
"Le Belleclaire","priceline.com","221","2016-01-23"
"Hyatt Place Flushing/LGA Airport","Hoteling","","2016-01-23"
"Millennium Broadway","priceline.com","243","2016-01-23"
"The Plaza","Booking.com","1,085","2016-01-23"
"Hotel Indigo New York City - Chelsea","priceline.com","286","2016-01-23"
"Nomo Soho","priceline.com","338","2016-01-23"
"Holiday Inn Express NYC Madison Square Garden","priceline.com","286","2016-01-23"
"The Leon Hotel","Travelocity","316","2016-01-23"
"Distrikt Hotel","Travelocity","375","2016-01-23"
"TRYP By Wyndham Times Square South","Travelocity","503","2016-01-23"
"Hotel Pennsylvania","otel.com","137","2016-01-23"
"Hilton New York","Hotwire","415","2016-01-23"
"Pod 39","Hotwire","213","2016-01-23"
"Courtyard New York Times Square West","Hotwire","365","2016-01-23"
"The Newton Hotel","otel.com","241","2016-01-23"
"Hotel 32 32","Orbitz","","2016-01-23"
"Sofitel New York","Venere.com","484","2016-01-23"
"Fairfield Inn & Suites New York Manhattan - Times Square","Orbitz","329","2016-01-23"
"Holiday Inn Midtown 57th Street","Orbitz","262","2016-01-23"
"nyma the new york manhattan hotel","Orbitz","","2016-01-23"
"Refinery Hotel","Hotwire","336","2016-01-23"
"Holiday Inn Express Manhattan Times Square South","Expedia","223","2016-01-23"
"1  Central Park","Travelocity","519","2016-01-23"
"The Westin New York Grand Central","Prestigia","","2016-01-23"
"Holiday Inn Express New York City Times Square","Orbitz","294","2016-01-23"
"Le Belleclaire","Hotwire","221","2016-01-23"
"Hyatt Place Flushing/LGA Airport","","","2016-01-23"
"Millennium Broadway","Travelocity","","2016-01-23"
"The Plaza","Expedia","1,085","2016-01-23"
"Hotel Indigo New York City - Chelsea","Orbitz","","2016-01-23"
"Nomo Soho","Hotwire","375","2016-01-23"
"Holiday Inn Express NYC Madison Square Garden","Hotels.com","286","2016-01-23"
"The Leon Hotel","Hotwire","316","2016-01-23"
"Distrikt Hotel","Expedia","375","2016-01-23"
"TRYP By Wyndham Times Square South","Hotwire","503","2016-01-23"
"Hotel Pennsylvania","Venere.com","177","2016-01-23"
"Hilton New York","Expedia","415","2016-01-23"
"Pod 39","Travelocity","213","2016-01-23"
"Courtyard New York Times Square West","Hoteling","442","2016-01-23"
"The Newton Hotel","Orbitz","","2016-01-23"
"Hotel 32 32","Travelocity","","2016-01-23"
"Sofitel New York","Prestigia","565","2016-01-23"
"Fairfield Inn & Suites New York Manhattan - Times Square","Hotels.com","329","2016-01-23"
"Holiday Inn Midtown 57th Street","Hotwire","262","2016-01-23"
"nyma the new york manhattan hotel","Easytobook","","2016-01-23"
"Refinery Hotel","Orbitz","336","2016-01-23"
"Holiday Inn Express Manhattan Times Square South","Travelocity","223","2016-01-23"
"1  Central Park","Expedia","519","2016-01-23"
"The Westin New York Grand Central","Travelocity","","2016-01-23"
"Holiday Inn Express New York City Times Square","Travelocity","294","2016-01-23"
"Le Belleclaire","Travelocity","221","2016-01-23"
"Hyatt Place Flushing/LGA Airport","","","2016-01-23"
"Millennium Broadway","otel.com","","2016-01-23"
"The Plaza","Hotwire","1,085","2016-01-23"
"Hotel Indigo New York City - Chelsea","Travelocity","","2016-01-23"
"Nomo Soho","Expedia","375","2016-01-23"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-24"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-24"
"The Hotel at Times Square","priceline.com","104","2016-01-24"
"Grand Hyatt","priceline.com","143","2016-01-24"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-24"
"Royalton","TabletHotels","180","2016-01-24"
"Crowne Plaza Times Square Manhattan","Official hotel website","124","2016-01-24"
"The Leon Hotel","priceline.com","111","2016-01-24"
"Warwick New York","priceline.com","163","2016-01-24"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-24"
"Hotel Pennsylvania","Official hotel website","119","2016-01-24"
"Hilton New York","Hotwire","148","2016-01-24"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-24"
"Doubletree Metropolitan","Hotwire","121","2016-01-24"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-24"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-24"
"Pod 39","priceline.com","84","2016-01-24"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-24"
"Hudson","Hotwire","111","2016-01-24"
"Park Central","Orbitz","119","2016-01-24"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-24"
"Hotel 32 32","CheapTickets","162","2016-01-24"
"The Kitano New York","priceline.com","177","2016-01-24"
"Sofitel New York","Official hotel website","237","2016-01-24"
"Edison","Hotwire","100","2016-01-24"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-24"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-24"
"The Hotel at Times Square","otel.com","111","2016-01-24"
"Grand Hyatt","Prestigia","146","2016-01-24"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-24"
"Royalton","priceline.com","180","2016-01-24"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-24"
"The Leon Hotel","Hotwire","131","2016-01-24"
"Warwick New York","Amoma.com","164","2016-01-24"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-24"
"Hotel Pennsylvania","otel.com","87","2016-01-24"
"Hilton New York","Hotels.com","148","2016-01-24"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","112","2016-01-24"
"Doubletree Metropolitan","priceline.com","121","2016-01-24"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","138","2016-01-24"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-24"
"Pod 39","Hotwire","84","2016-01-24"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-24"
"Hudson","BookIt.com","111","2016-01-24"
"Park Central","Travelocity","119","2016-01-24"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-24"
"Hotel 32 32","Orbitz","177","2016-01-24"
"The Kitano New York","Orbitz","177","2016-01-24"
"Sofitel New York","Venere.com","237","2016-01-24"
"Edison","priceline.com","100","2016-01-24"
"Hampton Inn Manhattan - Times Square North","priceline.com","120","2016-01-24"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-24"
"The Hotel at Times Square","Hoteling","125","2016-01-24"
"Grand Hyatt","otel.com","153","2016-01-24"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-24"
"Royalton","Hotwire","193","2016-01-24"
"Crowne Plaza Times Square Manhattan","Hotwire","124","2016-01-24"
"The Leon Hotel","Hotels.com","132","2016-01-24"
"Warwick New York","GetaRoom","164","2016-01-24"
"TRYP By Wyndham Times Square South","Venere.com","207","2016-01-24"
"Hotel Pennsylvania","Travelocity","118","2016-01-24"
"Hilton New York","priceline.com","148","2016-01-24"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-24"
"Doubletree Metropolitan","Orbitz","121","2016-01-24"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-24"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-24"
"Pod 39","Venere.com","85","2016-01-24"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-24"
"Hudson","Travelocity","111","2016-01-24"
"Park Central","priceline.com","119","2016-01-24"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-24"
"Hotel 32 32","Travelocity","","2016-01-24"
"The Kitano New York","Hotwire","177","2016-01-24"
"Sofitel New York","Prestigia","275","2016-01-24"
"Edison","Expedia","100","2016-01-24"
"The Hotel at Times Square","priceline.com","104","2016-01-25"
"Grand Hyatt","priceline.com","143","2016-01-25"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-25"
"The Jane","Travelocity","95","2016-01-25"
"Novotel New York Times Square","Official hotel website","133","2016-01-25"
"Royalton","TabletHotels","180","2016-01-25"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-25"
"The Leon Hotel","priceline.com","111","2016-01-25"
"Distrikt Hotel","Expedia","128","2016-01-25"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-25"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-25"
"Hotel Pennsylvania","Official hotel website","118","2016-01-25"
"Hilton New York","Hotwire","148","2016-01-25"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-25"
"Doubletree Metropolitan","Hotwire","121","2016-01-25"
"New York Marriott Marquis","Official hotel website","160","2016-01-25"
"Ramada Inn Eastside","priceline.com","104","2016-01-25"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-25"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-25"
"Pod 39","priceline.com","84","2016-01-25"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-25"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-25"
"Hudson","Expedia","117","2016-01-25"
"Park Central","priceline.com","119","2016-01-25"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-25"
"The Hotel at Times Square","otel.com","111","2016-01-25"
"Grand Hyatt","otel.com","153","2016-01-25"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-25"
"The Jane","Hotels.com","96","2016-01-25"
"Novotel New York Times Square","Hotwire","133","2016-01-25"
"Royalton","priceline.com","182","2016-01-25"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-25"
"The Leon Hotel","Hotwire","131","2016-01-25"
"Distrikt Hotel","Orbitz","128","2016-01-25"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-25"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-25"
"Hotel Pennsylvania","otel.com","107","2016-01-25"
"Hilton New York","Hotels.com","148","2016-01-25"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-25"
"Doubletree Metropolitan","priceline.com","121","2016-01-25"
"New York Marriott Marquis","priceline.com","160","2016-01-25"
"Ramada Inn Eastside","HotelTravel","107","2016-01-25"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-25"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-25"
"Pod 39","Hotwire","84","2016-01-25"
"Courtyard New York Times Square West","Hotwire","118","2016-01-25"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-25"
"Hudson","Travelocity","117","2016-01-25"
"Park Central","Hotwire","119","2016-01-25"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-25"
"The Hotel at Times Square","Amoma.com","124","2016-01-25"
"Grand Hyatt","Orbitz","158","2016-01-25"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-25"
"The Jane","Booking.com","98","2016-01-25"
"Novotel New York Times Square","Amoma.com","276","2016-01-25"
"Royalton","Hotwire","193","2016-01-25"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-25"
"The Leon Hotel","Expedia","131","2016-01-25"
"Distrikt Hotel","Venere.com","128","2016-01-25"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-25"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-25"
"Hotel Pennsylvania","Hotels.com","119","2016-01-25"
